       13728           1
        5876        1159        3307
        5875        1158        3306
         553        2111        4217
         554        2112        4218
        3297        4684        5955
         303        5257        3225
        2767        6454        4597
        3062        5636         981
        1162        2749        2267
         998        5401        2702
         999        5402        2703
         331        1966        3566
         948        3640        2765
        2238        4843        3444
        3802        4599        6816
        2553        4144        6418
        1232        6122        1971
         720        1967        3579
        1745        5298        2480
         496        2467        5974
        2045        5974        2467
         993        4342        2728
        1805        3506        3803
        1359        3574        1968
        1088        2393        5505
        1089        2394        5506
         456        2767        4597
         993        2442        2960
        2620        2863        6775
        2621        2864        6776
        2622        2865        6777
         998        5561        5401
         999        5562        5402
        2269        5336        2995
        1232        1971        4776
        5786        2770        1301
         192         193        3282
         263         264        3281
          29          30        3279
         100         101        3280
         556        4232        2108
        2730        5902        4441
        2731        5903        4442
        5336         807        2995
        1696        4684        3297
        2480        5298        5939
        6097         847        2643
        1388        2115        3385
        2274        6094        3215
        5954        3117        1085
        2369        5636        3062
         460        4074        2150
        4197         301        6345
         593        4555        3228
        1364        2527        4648
         987        2087        4290
        3112        3541        7005
         520        4987        1972
         618        2614        2936
        2306        5615        3273
        2233        3254        6660
        2863         298        6775
        6776        2864         299
        6777        2865         301
         437        2263        5222
         355        2905        2244
        1468        5456        3032
         359        2362        2857
        1067        2857        2362
        1430        3470        2170
         424        2272        3213
         425        2273        3214
         427        2274        3215
        1943        4309        4464
        1353        2662        3471
         361        3471        2662
        6726        3557        2681
         473        2153        4083
         474        2154        4084
         478        2156        4085
         192        3282        5449
         263        3281        5448
          30        5446        3279
         101        5447        3280
        2892        5823        5094
         947        5715        2626
        1941        3356        5434
         495        2466        6014
        2044        6014        2466
        2782        6970        4074
        1697        3108        3110
        1698        3109        3111
         969        3110        3108
         970        3111        3109
        2808        6745        3148
        2809        6746        3149
        3201        5745        1073
         832        3032        2075
        1816        4100        3308
         574        2353        3052
        1097        3052        2353
        1098        3053        2354
         575        2354        3053
         576        2355        3054
        1099        3054        2355
         730        2211        3953
        1030        6578        2301
        6724        5450         938
         958        5996        5313
         599        5731        4257
         871        6414        5315
         872        6415        5316
         870        5314        6413
        1541        4359        2748
        2468        5450        6724
         992        3019        2401
        1590        3912        2175
        1591        3913        2176
         384        4599        3802
         857        4024        5148
          15          16        2308
          86          87        2309
         277         278        2310
         206         207        2311
         157         158        2313
         228         229        2312
          64          65        2314
         135         136        2315
        2626        5715        2873
        2268        5386        2994
        2391        5875        3306
        2392        5876        3307
        1621        3086        3997
        1154        5931        1993
        2929        6991        5608
         950        2718        2406
         952        4074        2079
         687        3803        3506
         907        4852        2526
        5386         806        2994
        1122        4036        2887
        1656        2887        4036
        1387        3661        2970
        1016        2929        5608
        1156        2565        5513
         449        3180        4278
         448        3179        4277
         530        2450        3962
        1024        4601        3131
        1894        3176        3957
        1895        3177        3958
        1558        3820        2945
        1559        3821        2946
        1774        4996        2500
         413        2500        4996
         823        5768        2609
        2302        5745        3201
         729        3460        2054
         518        2197        3305
        2060        5385        5063
        5118        4161        1004
        5119        4162        1005
        2523        6314        3893
        2524        6315        3894
        1336        3682        2627
        1964        5513        2565
        1124        2804        2648
        1125        2805        2649
        1095        3296        2328
         754        2117        4701
         411        5009        1984
        1894        5857        3176
        1895        5858        3177
        2018        3212        3801
        2728        4342        5998
        5908        3317        1157
         473        4220        2153
         474        4221        2154
        2830        4909        4695
         994        2780        2781
        1202        2781        2780
        1317        5474        2335
        1318        5475        2336
        1037        2920        3011
        1276        3011        2920
        1038        2921        3012
        1277        3012        2921
        1278        3013        2922
        1039        2922        3013
        1019        2245        6046
        2116        5089        4609
         930        2386        4659
        1281        2363        3706
         802        3706        2363
         803        3707        2364
        1282        2364        3707
         800        2365        3705
        1279        3705        2365
         492        2157        4323
        2669        5073        5958
        1023        4600        4760
        1930        2965        4389
        2016        5937        4874
        5995        3764        1768
        2058        2878        5106
         531        5106        2878
        1636        4577        3059
        1637        4578        3060
        2012        3200        3802
        1063        2999        2147
         745        2147        2999
        1064        3000        2148
         746        2148        3000
        1066        3001        2149
         748        2149        3001
        1468        3032        5220
        1154        1993        3452
        1302        2968        3196
        1303        3197        2969
        1074        2962        2863
        1075        2963        2864
        1076        2964        2865
         613        2945        3820
         614        2946        3821
        1002        2240        2871
        1003        2241        2872
        1242        3112        2066
         738        2255        5966
         739        2256        5967
          17        3593        3610
          88        3594        3611
         205        3614        3598
         276        3612        3597
         230        3599        3613
         159        3600        3615
          63        3616        3595
         134        3617        3596
        1179        2103        4075
        1180        2104        4076
         672        4194        2461
        1445        2461        4194
         944        5556        4589
         945        5557        4590
        1580        4880        2705
        1399        2144        4575
         300        4575        2144
        2245        4241        6046
        1773        4995        2665
        1775        2663        4997
        1776        2664        4998
        2035        2609        5768
        1285        3044        2930
        1058        2930        3044
        1449        3948        2503
        1023        2798        2532
        3584        5125        1256
        1334        2725        3790
        1335        3791        2726
        1336        3792        2727
        2434        4202        6036
        2435        4203        6037
        1681        4717        4204
        1104        3897        3322
        1105        3898        3323
        1107        3899        3324
         317        2043        3242
        1036        2157        3068
         492        3068        2157
        1002        2347        2778
        1003        2348        2779
        1226        3425        2457
        1228        3426        2458
        2210        3460        5048
        1134        4891        2051
        1183        3264        2230
        1184        3265        2231
        1930        4389        6338
         538        2983        2862
         458        6166        5159
        1182        3908        4155
         452        4279        3189
        1264        3354        2644
        1059        3079        2953
        1297        2953        3079
        5590        3853        1634
         873        2753        4610
        1326        2304        5340
        1327        2305        5341
         497        2025        4646
        3216        3826        6714
         837        4953        3491
         428        4099        2117
        1018        2569        2636
        2388        3317        5908
        1093        2851        2284
        2160        4786        3554
        1584        4247        2411
        2393        2616        5505
        2394        2617        5506
        1455        2238        3471
        1400        3497        2810
         332        2810        3497
         760        3191        2164
        1036        3007        2157
        6041         837        3491
         797        3456        2361
         915        3465        2376
         571        2770        2443
        6893        3185        1185
         326        3349        3988
        1243        4443        2474
         952        2830        4695
        2875        3271        6731
         505        2892        5094
        2705        4880        5788
         976        3751        2237
         978        4452        2262
         983        4453        2264
         984        4454        2265
         599        2931        5731
        1112        2473        2969
         843        2969        2473
         713        2029        3773
         359        2820        2323
         894        4144        2553
        1031        5089        2116
        5048        3460         729
        1572        2908        3923
         703        3923        2908
        1436        3671        6318
        1435        3670        6317
        1387        4469        3661
        2457        3425        6686
        2458        3426        6687
        2118        4430        6685
        2003        3835         712
        2004        3836         714
        2005        3833         715
         995        3173        2329
         169        4531        2380
         240        4530        2379
          53        2381        4528
         124        2382        4529
        6685        4430         750
        5923        2003         712
        5924        2004         714
        5932        2005         715
        5125        2941        1256
        1490        4202        2434
        1491        4203        2435
        1254        2873        3497
        6326         703        2048
        1283        2499        3525
        1197        4890        2018
        2374        5758        2945
        2945        5758         913
        2375        5759        2946
        5759         914        2946
        1216        2863        2962
        1217        2864        2963
        1218        2865        2964
         992        4388        2522
        4786        1055        3554
         574        2962        2353
        1074        2353        2962
         575        2963        2354
        1075        2354        2963
        1076        2355        2964
         576        2964        2355
         996        2580        3697
         318        4075        2103
         320        4076        2104
         998        2542        6396
        2208        6396        2542
         999        2543        6397
        2209        6397        2543
         484        2503        6844
         542        2944        3185
        2468        4390        5450
        1226        2457        6562
        1228        2458        6563
          66        2980        4611
         137        2981        4612
         279        2976        4614
         208        2978        4615
         227        4617        2977
         156        4618        2979
          14        4613        2974
          85        4616        2975
         460        4110        3159
        1824        3159        4110
         435        4328        2126
        1030        2585        6578
         946        2971        5141
        2113        5141        2971
         601        2870        3845
         519        4557        2452
         308        3337        2266
        1463        6135        2198
        1742        4610        2753
         555        3239        2658
         556        3240        2659
        1448        3826        3216
        1975        3942        2654
        1599        2323        3399
        1139        2093        3523
         992        4492        2281
         564        6686        3425
         565        6687        3426
        1265        3293        2492
        1266        3294        2493
        1267        3295        2494
        2503        2591        6844
         466        2316        5068
        1614        5068        2316
        1615        5069        2317
         467        2317        5069
        4929         793        6421
         775        3035        5136
        2153        5136        3035
         776        3036        5137
        2154        5137        3036
         780        3038        5139
        2156        5139        3038
        1807        3542        4892
        1808        3543        4893
        1892        2828        5486
        6666         924        3984
         344        4622        2655
         345        4623        2656
         342        2653        4621
        1607        2345        5037
         785        5037        2345
        1608        2346        5038
         783        2344        5039
         786        5038        2346
        2303        5641        3394
        1288        2203        4088
        1289        2204        4089
        1290        2205        4090
         849        3254        6443
        2545        6742        2985
        2546        6744        2986
        2526        4852        4276
        2910        3185        6893
        1462        2132        3481
        1144        2501        4837
        1197        2018        3801
         777        2395        4409
         781        2396        4413
         782        2397        4414
          81        4497        3812
          10        4496        3807
         283        3808        4498
         223        4499        3811
         212        3809        4500
         152        4501        3813
          70        3810        4502
         141        3814        4503
         756        5011        2390
        1500        2730        4441
        1501        2731        4442
        2132        4929        6421
        2177        4619        3393
        3393        4619         310
         702        4464        4309
         738        5966        2417
         739        5967        2418
         825        2438        5892
        1931        5892        2438
         570        3359        2424
         610        3385        3309
        1516        3309        3385
         986        6440        4013
         988        6441        4014
         989        6442        4015
        1260        3150        2113
        1111        3196        2968
        1112        2969        3197
        1040        4308        4641
        2032        5058        5222
        2457        3072        6562
        2458        3073        6563
        1240        3629        2361
        3429        4773        6928
        3430        4774        6929
        1561        3656        2325
        1096        3888        2339
         645        4773        3429
         646        4774        3430
        4467        3412         751
        2101        3412        4467
        3007        5184        5010
        2198        6491        5061
        1975        5789        3942
        2343        5373        3371
         553        2667        3237
         554        2668        3238
        5641         522        3394
        1893        2847        5229
        1031        2116        4583
         930        4659        2531
         483        2899        2327
        1807        5598        3542
         557        4636        2940
        6670        2449        3862
         713        5339        2029
         487        2898        2338
        2713        3833        6587
        2503        3948        5455
        1462        4929        2132
         418        2806        2419
        6549        2165        4775
        2711        3835        6584
        2712        3836        6585
         966        2944        2275
        6731        3271         469
         457        2768        4727
        1170        2431        3014
        1019        6046        2453
        1808        5612        3543
        2263        3137        5222
         978        2368        4452
         983        2370        4453
         984        2371        4454
        1173        2452        4374
        5222        3137         980
        2048         703        5725
        1102        2669        3478
        1814        5751        3691
        1023        2689        2798
        1549        3877        3664
        1550        3878        3665
        1002        4745        2240
        1003        4746        2241
         550        3007        5010
        2682        6255        6200
        2683        6256        6201
        1067        2424        3359
         454        4769        3555
         455        4770        3556
         499        2345        5961
        1287        2661        2652
        1479        3242        2225
        2006        5080        4988
        2118        5050        5585
        2530        2958        6461
        1001        2575        3648
        1851        3296        4853
         403        5360        2966
        2181        2966        5360
         404        5361        2967
        2182        2967        5361
        2768        6455        4727
         939        4602        2487
        1555        2487        4602
         475        2318        2925
         479        2319        2926
         480        2320        2927
        2836        4040        6120
        2837        4041        6121
         359        2857        3198
        1295        3198        2857
         392        2391        3306
         393        2392        3307
         929        2454        5989
         521        3004        2718
         306        3361        2477
        1199        2477        3361
         307        3362        2478
        1200        2478        3362
        2027        2682        6200
        2028        2683        6201
        1583        2390        5011
        2958         846        6461
         754        4701        4900
        2873        5869        3497
        1953        6816        4599
        1171        2874        2430
         496        3559        2271
        3371        5373        1384
         891        3216        2115
         789        2224        5662
        1843        4155        3908
        1886        5878        2446
         595        4854        2224
         597        4855        2225
        1479        2225        4855
        1775        4114        3706
        1776        4115        3707
        1773        3705        4112
        1030        2301        2940
        6976        3683         589
        1041        2602        3257
        1042        2603        3258
         397        4173        3022
        1726        3022        4173
        1727        3023        4174
         398        4174        3023
         726        2436        5551
         727        2437        5552
        1037        2218        5304
        1037        5304        2219
        1038        2220        5305
        1038        5305        2221
        1039        2222        5306
        1039        5306        2223
         610        2993        3385
        1388        3385        2993
        1479        2211        4883
         730        4883        2211
         395        3317        2388
         394        2387        3030
         395        2388        3031
        2061        6202        6148
         728        2116        4765
        1417        4765        2116
        1464        3927        2735
         767        5063        5385
        1530        2312        4959
         392        3033        2391
         393        3034        2392
        1097        2353        3756
        1098        2354        3757
        1099        2355        3758
        1532        4962        2314
        1533        4963        2315
        1528        4961        2310
        2525        4197        6345
         451        3118        4768
        1160        2338        5346
        1466        4773        2253
        1467        4774        2254
        1012        5857        5261
        1013        5858        5262
         918        2652        2661
        1798        3174        2951
         487        4888        2952
        1028        2268        2994
        1029        2269        2995
        1006        2054        3460
        1065        4655        4406
         760        2282        3191
        5322        1503        3866
        2368        5635        5563
        2369        5564        5636
        2371        5638        5566
        2370        5637        5565
         715        5486        2828
        1778        3380        3770
        1204        3770        3380
        1205        3771        3381
        1779        3381        3771
        1780        3772        3382
        1207        3382        3772
        6314        1923        3893
        6315        1924        3894
         676        2735        3927
        1441        3392        4207
         358        3941        2227
        2019        4768        3118
        1144        4837        5021
        1163        2327        5263
        1687        3830        3206
        1206        3206        3830
        1742        2753        5968
        1730        5073        2669
         321        3972        2101
        2061        2937        6202
        1599        3399        4236
        6439        1911        5556
         985        2157        4027
        1096        6799        2247
        1388        4719        2115
         891        2115        4719
        1103        2285        2996
         317        3762        2043
        6564        3411         293
        2952        4888        6901
         329        3102        4141
        1126        4003        2598
        2753        2919        5968
        1654        2183        3572
         446        2129        3229
        1135        6567        2412
        1136        6568        2413
        1137        6569        2414
        2937        5221        6114
        2151        4722        3419
        2152        4723        3420
        2470        4353        4461
        2471        4354        4462
         779        4959        2312
        2026        3521        4942
         781        2314        4962
         782        2315        4963
         777        2310        4961
         757        4757        4989
        1538        2646        4330
         926        4330        2646
        1539        2647        4331
         927        4331        2647
        1002        4816        4745
        1003        4817        4746
        2500        5107        3499
        5107         801        3499
        1871        4996        3883
        1870        4995        3881
        1873        3884        4998
        1872        3882        4997
        2522        3764        5995
        4722         900        3419
        4723         901        3420
        1155        3444        4843
        1106        2087        3373
         689        5958        5073
        2036        5836        2637
        2940        4636        3786
        1175        3158        2538
         562        2538        3158
        1026        3045        2260
        1027        3046        2261
        1056        2800        3852
        1582        2402        5266
         779        4410        2409
        1057        2850        2441
        2317        5262        5858
        2316        5261        5857
         997        2164        3191
        6609        1371        3271
        2875        6609        3271
        2627        3682        5334
        1465        2623        4735
         199         200        2680
         270         271        2679
          22          23        2677
          93          94        2678
         503        6319        2427
         804        3045        2304
         805        3046        2305
         321        2101        5008
        1441        2844        3392
        1913        4256        5108
        1094        6726        2681
        1051        3552        2158
        1054        3553        2159
         821        6595        2682
         822        6596        2683
        1162        3609        2749
         939        4267        4835
         923        2637        5836
        1306        3151        2372
        1307        3152        2373
        2725        6310        3790
        2726        3791        6312
        2727        3792        6311
        1036        2706        3479
         797        2361        3574
         570        3516        2849
        1743        3620        3930
        2552        5322        3866
        2201        6478        6106
        2399        4512        6305
        2021        3555        4769
        2022        3556        4770
         503        2441        6319
         829        6428        4666
        2682        6595        2947
        2683        6596        2948
        1067        6446        2424
        1595        5100        2198
        1599        5168        2323
         359        2323        5168
         806        2335        2994
         807        2336        2995
         344        3798        4622
         345        3799        4623
         342        4621        3796
        3393        1303        5841
        2870        4551        3845
         592        2360        3620
        1215        3620        2360
        1134        2051        3917
         460        2150        4110
        2290        3269        6573
        6573        3269         480
         730        3953        2489
         530        3633        2057
        1129        2462        2862
        2335        5474        2994
        2336        5475        2995
         450        5510        2299
         452        5511        2300
        1029        3349        2269
        1028        3350        2268
         827        5161        2145
         726        2052        4052
         727        2053        4053
        2599        4432        3517
        2600        4433        3518
         583        3400        2942
        1051        2184        3552
        1054        2185        3553
        1055        2186        3554
        2801        6439        5556
        2161        6422        4728
        2162        6423        4729
         377        4366        2212
        1006        3976        2054
         729        2054        3971
        1175        2213        3158
        1570        2131        5188
         540        2463        2874
        1361        3575        2717
         799        2717        3575
        1018        2636        4004
         405        4262        2693
         448        2297        5502
         449        2298        5503
        3357        6666        3984
         858        2839        5650
        2123        5650        2839
        3883        4996        6264
        3881        4995        6265
        3884        6267        4998
        4997        3882        6266
        1037        4586        2218
        1038        4587        2220
        1039        4588        2222
        1063        2147        4083
        1064        2148        4084
        1066        2149        4085
        2191        2455        6434
         940        2517        6974
         941        2518        6975
        4170        6344        1300
         318        2103        3416
         320        2104        3417
         796        2456        4867
        1199        2578        2818
        1200        2579        2819
        1031        2301        5089
        5841        1303        2846
        1912        5557        2802
        1932        6061        2439
         826        2439        6061
         946        5229        2847
        2201        2672        6478
         377        2212        3772
        1207        3772        2212
        1372        2973        2485
        1717        5563        5635
        1720        5636        5564
        1723        5566        5638
        1721        5565        5637
        1156        2982        2387
         992        5312        4388
        1629        2449        6670
        1952        4760        4600
         745        3325        2147
         746        3326        2148
         748        3327        2149
        1015        3650        2420
         534        3445        3973
         535        3446        3974
         642        2588        4280
        1474        4280        2588
         643        2589        4281
        1475        4281        2589
        2111        5692        4217
        2112        5693        4218
         322        4192        2260
         323        4193        2261
         335        3537        2141
        2211        5079        1594
        2421        3107        5803
        3107        1193        5803
         570        2849        4435
        2399        5461        4512
         728        4583        2116
         978        2262        3136
         983        2264        3138
         984        2265        3139
        1268        3656        3870
        1106        4286        2087
        1910        5266        4635
         530        3962        3633
         828        3920        2792
        1471        2792        3920
        1135        2556        6567
        1136        2557        6568
        1137        2558        6569
        1012        5261        5551
        1013        5262        5552
         428        2117        4567
        1227        2067        3679
        1229        2068        3680
        1096        2247        3348
         330        3348        2247
         356        3072        2321
         357        3073        2322
        1608        4282        2346
        2632        3411        6564
         409        6725        2228
        1188        3048        3147
         400        4008        3182
        1703        3182        4008
         498        5548        3336
         929        5989        6992
        1235        3300        2178
        1236        3301        2179
        1237        3302        2180
         942        2481        2901
         300        2144        6186
        1140        3668        2090
        1138        2092        3667
        2159         633        4785
         401        4441        5902
         402        4442        5903
        1079        2173        4645
        1080        2174        4644
        1077        4643        2175
        1078        4642        2176
        2517        2966        6974
        2518        2967        6975
        2393        6876        2616
         466        2616        6876
        2394        6877        2617
